SppName	Label	OttId	GbifId	ncbiId	Synonyms
Antechinus godmani	Antechinus_godmani_DASYURIDAE_DASYUROMORPHIA	760617	gbif:2435376	ncbi:71385	Phascogale godmani
Antechinus leo	Antechinus_leo_DASYURIDAE_DASYUROMORPHIA	837436	gbif:2435371	ncbi:65606	
Antechinus minimus	Antechinus_minimus_DASYURIDAE_DASYUROMORPHIA	760612	gbif:2435375	ncbi:71386	Dasyurus minimus
Antechinus stuartii	Antechinus_stuartii_DASYURIDAE_DASYUROMORPHIA	74733	gbif:2435370	ncbi:9283	Antechinus unicolor,Phascogale flavipes
Antechinus swainsonii	Antechinus_swainsonii_DASYURIDAE_DASYUROMORPHIA	74726	gbif:2435377	ncbi:9284	Phascogale swainsonii mimetes,Phascogale swainsonii
Anthops ornatus	Anthops_ornatus_HIPPOSIDERIDAE_CHIROPTERA	879094	gbif:2432610	ncbi:302397	
Antidorcas marsupialis	Antidorcas_marsupialis_BOVIDAE_CETARTIODACTYLA	363040	gbif:2441064	ncbi:59523	Antilope marsupialis
Antilocapra americana	Antilocapra_americana_ANTILOCAPRIDAE_CETARTIODACTYLA	768683	gbif:2440902	ncbi:9891	Neomeryx finni,Capra americana,Antilope americana,Antilocapra anteflexa
Antilope cervicapra	Antilope_cervicapra_BOVIDAE_CETARTIODACTYLA	363043	gbif:2441065	ncbi:59525	Capra cervicapra
Antrozous pallidus	Antrozous_pallidus_VESPERTILIONIDAE_CHIROPTERA	913941	gbif:2432339	ncbi:9440	
Aonyx capensis	Aonyx_capensis_MUSTELIDAE_CARNIVORA	4709	gbif:2433900	ncbi:76722	Lutra inunguis,Lutra capensis,Anahyster calabaricus,Aonyx delalandi,Lutra lenoiri
Aonyx cinerea	Aonyx_cinerea_MUSTELIDAE_CARNIVORA	956747	gbif:2433894	ncbi:452597	Amblonyx cinereus,Aonyx cinerea,Lutra cinerea,Micraonyx cinerea
Aotus azarae	Aotus_azarae_AOTIDAE_PRIMATES	1058659	gbif:5707409	ncbi:30591	Aotus azarai,Simia azarae
Aotus griseimembra	Aotus_griseimembra_AOTIDAE_PRIMATES	583084	gbif:5786069	ncbi:292213	Aotus lemurinus griseimembra,Aotus bipunstatus
Aotus lemurinus	Aotus_lemurinus_AOTIDAE_PRIMATES	897634	gbif:5219591	ncbi:43147	Aotus lanius,Aotus hershkovitzi,Aotus pervigilis,Aotus aversus,Nyctipithecus hirsutus,Nyctipithecus villosus
Aotus nancymaae	Aotus_nancymaae_AOTIDAE_PRIMATES	913299	gbif:5219589	ncbi:37293	Aotus nancymai
